,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research
302,322,105,2,3.0,3.0,8.45,1
347,299,94,1,1.0,1.0,7.34,0
315,308,104,2,2.5,3.0,8.07,0
50,313,98,3,2.5,4.5,8.3,1
112,301,107,3,3.5,3.5,8.34,1
252,318,100,2,2.5,3.5,8.54,1
97,331,120,3,4.0,4.0,8.96,1
104,326,112,3,3.5,3.0,9.05,1
196,306,105,2,3.0,2.5,8.26,0
235,326,111,5,4.5,4.0,9.23,1
265,313,102,3,2.5,2.5,8.68,0
34,331,112,5,4.0,5.0,9.8,1
18,318,110,3,4.0,3.0,8.8,0
377,290,100,1,1.5,2.0,7.56,0
344,295,96,2,1.5,2.0,7.34,0
136,312,103,3,5.0,4.0,8.45,0
280,311,102,3,4.5,4.0,8.64,1
339,324,107,5,3.5,4.0,8.66,1
275,322,110,3,3.5,3.0,8.96,1
175,320,111,4,4.5,3.5,8.87,1
31,327,103,3,4.0,4.0,8.3,1
126,323,113,3,4.0,3.0,9.32,1
245,328,110,4,4.0,2.5,9.02,1
254,321,114,4,4.0,5.0,9.12,0
303,323,107,3,3.5,3.5,8.55,1
91,299,97,3,5.0,3.5,7.66,0
40,308,110,3,3.5,3.0,8.0,1
7,308,101,2,3.0,4.0,7.9,0
239,299,100,1,1.5,2.0,7.89,0
168,293,97,2,2.0,4.0,7.8,1
209,301,104,3,3.5,4.0,8.12,1
231,319,106,3,3.5,2.5,8.33,1
56,316,102,3,2.0,3.0,7.4,0
90,318,106,2,4.0,4.0,7.92,1
189,324,112,5,5.0,5.0,9.08,1
192,322,114,5,4.5,4.0,8.94,1
73,314,108,4,4.5,4.0,9.04,1
371,324,110,3,3.5,3.0,9.22,1
176,329,119,4,4.5,4.5,9.16,1
362,338,115,5,4.5,5.0,9.23,1
164,329,111,4,4.5,4.0,9.01,1
134,333,113,5,4.0,4.0,9.28,1
94,303,99,3,2.0,2.5,7.66,0
142,331,115,5,4.0,3.5,9.44,1
393,317,104,2,3.0,3.0,8.76,0
222,324,113,4,4.5,4.0,8.79,0
155,312,109,3,3.0,3.0,8.69,0
385,335,117,5,5.0,5.0,9.82,1
267,314,107,3,3.0,3.5,8.17,1
343,305,103,2,2.5,3.5,8.13,0
170,312,101,2,2.5,3.5,8.04,1
353,300,102,3,3.5,2.5,8.17,0
71,336,112,5,5.0,5.0,9.76,1
251,316,99,2,2.5,3.0,9.0,0
365,330,114,4,4.5,3.0,9.17,1
12,328,112,4,4.0,4.5,9.1,1
257,324,100,3,4.0,5.0,8.64,1
157,309,104,2,2.0,2.5,8.26,0
114,311,105,3,3.5,3.0,8.45,1
387,307,105,2,2.0,3.5,8.1,0
23,334,119,5,5.0,4.5,9.7,1
42,313,107,2,2.5,2.0,8.5,1
10,325,106,3,3.5,4.0,8.4,1
26,322,109,5,4.5,3.5,8.8,0
374,315,105,2,2.0,2.5,7.65,0
88,314,108,3,4.5,3.5,8.14,0
105,316,110,3,4.0,4.5,8.78,1
396,325,107,3,3.0,3.5,9.11,1
359,321,107,2,2.0,1.5,8.44,0
274,315,100,1,2.0,2.5,7.95,0
140,329,110,2,4.0,3.0,9.15,1
277,320,101,2,2.5,3.0,8.62,0
66,327,114,3,3.0,3.0,9.02,0
2,316,104,3,3.0,3.5,8.0,1
236,325,112,4,4.0,4.5,9.17,1
21,325,114,4,3.0,2.0,8.4,0
113,320,110,2,4.0,3.5,8.56,0
376,297,96,2,2.5,2.0,7.43,0
266,312,105,2,2.0,2.5,8.45,0
261,312,104,3,3.5,4.0,8.09,0
149,311,106,2,3.5,3.0,8.26,1
28,295,93,1,2.0,2.0,7.2,0
118,296,99,2,3.0,3.5,7.28,0
272,294,95,1,1.5,1.5,7.64,0
121,334,119,5,4.5,4.5,9.48,1
59,311,104,2,2.0,2.0,8.3,0
259,331,119,4,5.0,4.5,9.34,1
218,324,110,4,3.0,3.5,8.97,1
287,324,114,5,5.0,4.5,9.08,1
398,312,103,3,3.5,4.0,8.78,0
57,298,99,2,4.0,2.0,7.6,0
139,318,109,1,3.5,3.5,9.12,0
46,329,114,5,4.0,5.0,9.3,1
258,326,102,4,5.0,5.0,8.76,1
253,335,115,4,4.5,4.5,9.68,1
375,304,101,2,2.0,2.5,7.66,0
182,299,100,2,3.0,3.5,7.88,0
39,307,108,2,4.0,3.5,7.7,0
98,332,119,4,5.0,4.5,9.24,1
331,311,105,2,3.0,2.0,8.12,1
221,316,110,3,3.5,4.0,8.56,0
110,305,108,5,3.0,3.0,8.48,0
233,304,100,2,2.5,3.5,8.07,0
334,312,107,4,4.5,4.0,8.65,1
9,323,108,3,3.5,3.0,8.6,0
127,319,112,3,2.5,2.0,8.71,1
184,316,106,2,2.5,4.0,8.32,0
163,317,105,3,3.5,3.0,8.56,0
43,332,117,4,4.5,4.0,9.1,0
317,300,99,1,1.0,2.5,8.01,0
370,310,103,2,2.5,2.5,8.24,0
227,312,110,2,3.5,3.0,8.53,0
271,299,96,2,1.5,2.0,7.86,0
286,336,118,5,4.5,4.0,9.19,1
55,320,103,3,3.0,3.0,7.7,0
47,339,119,5,4.5,4.0,9.7,0
282,312,106,3,4.0,3.5,8.79,1
156,315,105,3,2.0,2.5,8.34,0
178,309,108,3,2.5,3.0,8.12,0
22,328,116,5,5.0,5.0,9.5,1
250,320,104,3,3.0,2.5,8.57,1
108,331,116,5,5.0,5.0,9.38,1
378,303,98,1,2.0,2.5,7.65,0
83,322,115,5,4.0,4.5,9.36,1
373,321,109,3,3.0,3.0,8.54,1
292,302,99,2,1.0,2.0,7.97,0
30,300,97,2,3.0,3.0,8.1,1
399,333,117,4,5.0,4.0,9.66,1
268,327,113,4,4.5,5.0,9.14,0
205,295,99,2,2.5,3.0,7.65,0
299,305,112,3,3.0,3.5,8.65,0
203,334,120,5,4.0,5.0,9.87,1
107,338,117,4,3.5,4.5,9.46,1
63,315,107,2,4.0,3.0,8.5,1
273,312,99,1,1.0,1.5,8.01,1
169,311,99,2,2.5,3.0,7.98,0
225,296,99,2,2.5,2.5,8.03,0
148,339,116,4,4.0,3.5,9.8,1
35,320,110,5,5.0,5.0,9.2,1
285,331,116,5,4.0,4.0,9.26,1
119,327,104,5,3.0,3.5,8.84,1
388,296,97,2,1.5,2.0,7.8,0
130,339,114,5,4.0,4.5,9.76,1
364,313,102,3,3.5,4.0,8.9,1
350,318,107,3,3.0,3.5,8.27,1
361,334,116,4,4.0,3.5,9.54,1
384,340,113,4,5.0,5.0,9.74,1
212,338,120,4,5.0,5.0,9.66,1
229,324,111,4,3.0,3.0,9.01,1
372,336,119,4,4.5,4.0,9.62,1
141,332,118,2,4.5,3.5,9.36,1
289,313,109,3,4.0,3.5,9.0,0
210,325,108,4,4.5,4.0,9.06,1
172,322,110,4,4.0,5.0,9.13,1
312,311,107,4,4.5,4.5,9.0,1
65,325,112,4,3.5,3.5,8.92,0
211,328,110,4,5.0,4.0,9.14,1
283,321,111,3,2.5,3.0,8.9,1
306,323,110,3,4.0,3.5,9.1,1
381,319,105,3,3.0,3.5,8.67,1
256,309,99,3,4.0,4.0,8.56,0
342,308,106,3,3.0,3.0,8.24,0
242,324,115,3,3.5,3.0,8.76,1
195,307,107,2,3.0,3.5,8.52,1
367,311,98,1,1.0,2.5,7.46,0
340,312,107,3,3.0,3.0,8.46,1
270,306,105,2,2.5,3.0,8.22,1
281,317,110,3,4.0,4.5,9.11,1
276,329,113,5,5.0,4.5,9.45,1
232,312,107,2,2.5,3.5,8.27,0
45,322,110,5,5.0,4.0,9.1,1
311,328,108,4,4.5,4.0,9.18,1
77,301,99,2,3.0,2.0,8.22,0
80,312,105,3,2.0,3.0,8.02,1
137,316,100,2,1.5,3.0,8.16,1
92,298,98,2,4.0,3.0,8.03,0
183,314,110,3,4.0,4.0,8.8,0
181,305,107,2,2.5,2.5,8.42,0
160,315,103,1,1.5,2.0,7.86,0
44,326,113,5,4.5,4.0,9.4,1
135,314,109,4,3.5,4.0,8.77,1
5,330,115,5,4.5,3.0,9.34,1
32,338,118,4,3.0,4.5,9.4,1
206,315,99,2,3.5,3.0,7.89,0
348,302,99,1,2.0,2.0,7.25,0
223,308,109,2,3.0,4.0,8.45,0
87,317,107,2,3.5,3.0,8.28,0
386,302,101,2,2.5,3.5,7.96,0
332,308,106,3,3.5,2.5,8.21,1
320,317,106,3,4.0,3.5,8.5,1
128,326,112,3,3.5,3.0,9.1,1
316,298,101,2,1.5,2.0,7.86,0
78,296,95,2,3.0,2.0,7.54,1
16,317,107,3,4.0,3.0,8.7,0
328,324,112,4,4.0,3.5,8.77,1
131,303,105,5,5.0,4.5,8.65,0
154,326,108,3,3.0,3.5,8.89,0
101,312,105,2,2.5,3.0,8.12,0
368,298,92,1,2.0,2.0,7.88,0
219,312,104,3,3.5,3.5,8.42,0
207,310,102,3,3.5,4.0,8.02,1
214,331,117,4,4.5,5.0,9.42,1
390,314,102,2,2.0,2.5,8.24,0
341,326,110,3,3.5,3.5,8.76,1
53,324,112,4,4.0,2.5,8.1,1
61,307,101,3,4.0,3.0,8.2,0
33,340,114,5,4.0,4.0,9.6,1
0,337,118,4,4.5,4.5,9.65,1
99,323,113,3,4.0,4.0,8.88,1
75,329,114,2,2.0,4.0,8.56,1
322,314,107,2,2.5,4.0,8.27,0
220,313,103,3,4.0,4.0,8.75,0
308,312,108,3,3.5,3.0,8.53,0
349,313,101,3,2.5,3.0,8.04,0
13,307,109,3,4.0,3.0,8.0,1
354,297,98,2,2.5,3.0,7.67,0
327,295,101,2,2.5,2.0,7.86,0
360,322,110,3,4.0,5.0,8.64,1
290,307,105,2,2.5,3.0,7.65,0
132,309,105,5,3.5,3.5,8.56,0
193,336,118,5,4.5,5.0,9.53,1
146,315,105,3,2.0,2.5,8.48,0
19,303,102,3,3.5,3.0,8.5,0
20,312,107,3,3.0,2.0,7.9,1
79,294,93,1,1.5,2.0,7.36,0
262,308,103,2,2.5,4.0,8.36,1
102,314,106,2,4.0,3.5,8.25,0
300,309,106,2,2.5,2.5,8.0,0
338,323,108,5,4.0,4.0,8.74,1
215,330,116,5,5.0,4.5,9.36,1
82,320,110,5,5.0,4.5,9.22,1
41,316,105,2,2.5,2.5,8.2,1
147,326,114,3,3.0,3.0,9.11,1
319,327,113,4,3.5,3.0,8.69,1
304,313,106,2,2.5,2.0,8.43,0
180,300,104,3,3.5,3.0,8.16,0
85,319,103,4,4.5,3.5,8.66,0
305,321,109,3,3.5,3.5,8.8,1
116,299,102,3,4.0,3.5,8.62,0
144,325,112,2,3.0,3.5,8.96,1
382,324,110,4,4.5,4.0,9.15,1
138,326,116,2,4.5,3.0,9.08,1
194,316,109,3,3.5,3.0,8.76,0
1,324,107,4,4.0,4.5,8.87,1
392,326,112,4,4.0,3.5,9.12,1
307,325,112,4,4.0,4.0,9.0,1
234,330,113,5,5.0,4.0,9.31,1
89,316,109,4,4.5,3.5,8.76,1
216,322,112,4,4.5,4.5,9.26,1
177,319,110,3,3.5,3.5,9.04,0
345,316,98,1,1.5,2.0,7.43,0
333,319,108,3,3.0,3.5,8.54,1
351,325,110,4,3.5,4.0,8.67,1
336,319,110,3,3.0,2.5,8.79,0
81,340,120,4,5.0,5.0,9.5,1
162,318,109,3,3.0,3.0,8.5,0
8,302,102,1,2.0,1.5,8.0,0
346,304,97,2,1.5,2.0,7.64,0
200,317,103,3,2.5,3.0,8.54,1
369,301,98,1,2.0,3.0,8.03,1
355,317,106,2,2.0,3.5,8.12,0
323,305,102,2,2.0,2.5,8.18,0
197,310,106,2,3.5,2.5,8.33,0
264,325,110,2,3.0,2.5,8.76,1
366,320,104,3,3.5,4.5,8.34,1
86,315,106,3,4.5,3.5,8.42,0
96,306,100,2,3.0,3.0,8.0,0
352,303,100,2,3.0,3.5,8.06,1
284,340,112,4,5.0,4.5,9.66,1
394,329,111,4,4.5,4.0,9.23,1
36,299,106,2,4.0,4.0,8.4,0
313,301,100,3,3.5,3.0,8.04,0
269,308,108,4,4.5,5.0,8.34,0
179,307,102,3,3.0,3.0,8.27,0
191,323,110,5,4.0,5.0,8.98,1
115,310,106,4,4.5,4.5,9.04,1
72,321,111,5,5.0,5.0,9.45,1
391,318,106,3,2.0,3.0,8.65,0
152,321,112,5,5.0,5.0,9.06,1
294,316,101,2,2.5,2.0,8.32,1
117,290,104,4,2.0,2.5,7.46,0
217,321,109,4,4.0,4.0,9.13,1
67,316,107,2,3.5,3.5,8.64,1
249,321,111,3,3.5,4.0,8.83,1
51,312,100,2,1.5,3.5,7.9,1
187,335,118,5,4.5,3.5,9.44,1
159,297,100,1,1.5,2.0,7.9,0
60,309,100,2,3.0,3.0,8.1,0
95,304,100,4,1.5,2.5,7.84,0
226,306,110,2,3.5,4.0,8.45,0
244,314,107,2,2.5,4.0,8.56,0
124,301,106,4,2.5,3.0,8.47,0
24,336,119,5,4.0,3.5,9.8,1
161,298,99,1,1.5,3.0,7.46,0
330,327,113,3,3.5,3.0,8.66,1
129,333,118,5,5.0,5.0,9.35,1
237,329,114,5,4.5,5.0,9.19,1
260,327,108,5,5.0,3.5,9.13,1
358,314,105,2,2.5,2.0,7.64,0
49,327,111,4,3.0,4.0,8.4,1
